"","Yearround","Handicap","indicator","Lat","Long"
"198","Yes","Not Available",1,40.768136,-73.9943891
"199","Yes","Not Available",1,40.730252,-74.002189
"200","Yes","Not Available",1,40.725342,-73.975459
"201","Yes","No",1,40.867367,-73.922812
"202","Yes","Not Available",1,40.723857,-73.972827
"203","Yes","Not Available",1,40.719909,-73.973635
"204","Yes","No",1,40.721694,-73.973424
"205","Yes","No",1,40.789187,-73.9379
"206","Yes","Not Available",1,40.862044,-73.932074
"207","Yes","No",1,40.863804,-73.932549
"208","Yes","Not Available",1,40.864855,-73.931717
"209","Yes","Not Available",1,40.838819,-73.946638
"210","Yes","Not Available",1,40.7969119,-73.9677592
"211","Yes","Not Available",1,40.817202,-73.9391049
"212","Yes","No",1,40.824812,-73.935556
"213","Yes","Not Available",1,40.587016,-74.100084
"214","Yes","Not Available",1,40.720046,-73.981532
"215","Yes","No",1,40.812788,-73.939211
"216","Yes","No",1,40.79694,-73.967784
"217","Yes","Yes",1,40.843436,-73.933201
"218","Yes","Not Available",1,40.6419877,-74.9132045
"219","Yes","Yes",1,40.852714,-73.926915
"220","Yes","No",1,40.832725,-73.939137
"221","Yes","Not Available",1,40.8136794,-73.9387312
"222","Yes","No",1,40.871509,-73.925709
"223","Yes","No",1,40.8677145,-73.9212019
"224","Yes","No",1,40.869927,-73.922422
"225","Yes","Yes",1,40.846319,-73.941364
"226","Yes","No",1,40.824236,-73.942139
"227","Yes","No",1,40.827962,-73.93994
"228","Yes","Not Available",1,40.824274,-73.942122
"229","Yes","No",2,40.8174777,-73.946736
"230","Yes","No",1,40.7693053,-73.9493916
"231","Yes","No",1,40.729758,-74.006272
"232","Yes","Yes",1,40.7123939,-73.9884206
"233","Yes","No",1,40.805042,-73.944831
"234","Yes","Not Available",1,40.80518,-73.943365
"235","Yes","No",1,40.6968447,-73.949496
"236","Yes","No",1,40.756617,-73.983303
"237","Yes","No",1,40.758985,-73.9913589
"238","Yes","No",1,40.724024,-73.98503
"239","Yes","Yes",1,40.805135,-73.959095
"240","Yes","Not Available",1,40.806028,-73.959063
"241","Yes","No",1,40.806334,-73.957754
"242","Yes","No",1,40.863132,-73.920639
"243","Yes","No",1,40.83168,-73.941769
"244","Yes","Yes",1,40.704988,-73.881494
"245","Yes","No",1,40.785684,-73.950114
"246","Yes","Not Available",1,40.798027,-73.936976
"247","Yes","No",1,40.822447,-73.943055
"248","Yes","No",1,40.748006,-73.9691
"249","Yes","No",1,40.813709,-73.950944
"250","Yes","No",1,40.820159,-73.946988
"251","Yes","No",1,40.821214,-73.947283
"252","Yes","Yes",1,40.7449676,-73.9736364
"253","Yes","Yes",1,40.782809,-73.944604
"254","Yes","No",1,40.7817253,-73.978687
"255","Yes","Not Available",1,40.736292,-73.989566
"256","Yes","Yes",1,40.725367,-74.0025609
"257","Yes","No",1,40.801992,-73.933208
"258","Yes","Not Available",1,40.771447,-73.988567
"259","Yes","Not Available",1,40.6805498,-73.9225717
"260","Yes","No",2,40.6578786,-73.896138
"261","Yes","Not Available",1,40.7222436,-73.9615144
"262","Yes","Not Available",1,40.7018076,-73.9394723
"263","Yes","No",1,40.6982776,-73.9914896
"264","Yes","Not Available",1,40.5767757,-73.970055
"265","Yes","No",1,40.6687403,-73.9118244
"266","Yes","No",1,40.679606,-73.874736
"267","Yes","Yes",1,40.573527,-73.970744
"268","Yes","No",1,40.5721302,-73.9793298
"269","Yes","Not Available",2,40.714593,-73.938755
"270","Yes","No",1,40.670334,-73.871688
"271","Yes","No",2,40.6235909,-73.9758061
"272","Yes","No",1,40.6803115,-74.0022113
"273","Yes","No",1,40.667555,-73.890647
"274","Yes","No",1,40.712986,-73.987595
"275","Yes","No",1,40.6120808,-74.0140275
"276","Yes","No",1,40.6893545,-73.9714325
"277","Yes","Not Available",1,40.6557721,-73.8870206
"278","Yes","No",1,40.7004831,-73.9285422
"279","Yes","Yes",1,40.6325221,-73.9240414
"280","Yes","No",1,40.679807,-73.932395
"281","Yes","No",1,40.5979212,-73.9467281
"282","Yes","Not Available",1,40.6090667,-74.0001737
"283","Yes","Not Available",1,40.6502804,-73.9764294
"284","Yes","No",2,40.6626057,-73.9467655
"285","Yes","No",1,40.6857428,-73.9452692
"286","Yes","Yes",1,40.7684844,-73.9772017
"287","Yes","Yes",1,40.689612,-73.946732
"288","Yes","No",1,40.5982571,-73.9398397
"289","Yes","No",1,40.8627738,-73.3255504
"290","Yes","No",1,40.6656832,-73.9593103
"291","Yes","Not Available",1,40.6912345,-73.9324918
"292","Yes","Not Available",1,40.6110485,-74.033835
"293","Yes","No",1,40.5789776,-73.9970482
"294","Yes","No",1,40.6585484,-73.9222043
"295","Yes","No",1,40.667319,-73.926355
"296","Yes","Not Available",1,40.6123076,-73.9113651
"297","Yes","No",1,40.7031595,-73.9238951
"298","Yes","No",1,40.5954615,-73.9212858
"299","Yes","No",2,40.6692495,-73.9135787
"300","Yes","No",1,40.7091573,-73.9439381
"301","Yes","No",1,40.7213441,-73.9526361
